6.201	6.328	5.645	5.843	5.893	6.582	4.542
5.813	5.72	5.805	6.466	5.987	6.048	5.386
5.846	5.602	5.993	5.502	5.863	6.246	4.502
1.977	6.993	6.19	4.713	3.651	6.846	2.827
2.283	4.258	8.074	5.286	2.587	8.556	-1.959
0.722	2.344	6.299	3.165	4.019	0.145	3.338
8.868	3.408	0.5	4.695	4.771	2.594	-0.759
5.552	6.143	5.911	6.377	6.035	5.897	-0.258
0.112	0.406	1.291	0.73	0.349	0.03	4.224
0.141	3.415	11.006	6.042	3.811	2.983	7.18
0.594	1.37	2.344	1.892	5.816	7.497	5.534
7.445	3.889	0.651	4.417	6.305	6.136	1.286
5.939	6.142	5.67	5.773	6.121	5.957	3.505
3.581	3.888	4.438	5.752	0.449	5.828	1.762
6.401	5.918	6.303	6.146	5.639	6.013	-0.545
0.994	0.76	0.687	0.238	0.784	0.268	0.597
1.562	6.596	4.767	5.251	2.007	2.395	2.675
5.9	5.651	5.642	6.092	5.899	6.546	3.3
5.7	6.053	6.068	6.146	6.132	5.709	4.249
5.477	6.57	5.228	3.119	5.676	7.323	-3.765
6.939	0.785	6.848	1.224	0.574	0.097	0.727
0.624	1.054	1.112	0.682	1.045	2.869	-0.252
4.615	5.852	6.63	4.418	2.725	2.976	-4.247
2.23	3.695	4.151	4.496	6.718	5.665	1.952
0.589	0.734	0.681	0.403	0.829	1.59	4.008
5.708	6.565	6.461	6.338	6.066	6.258	-0.31
10.986	7.343	7.546	4.752	5.247	5.831	2.808
6.051	6.501	6.08	5.72	6.097	6.042	7.127
9.646	4.009	7.273	6.242	2.394	2.84	-0.802
6.185	5.732	6.339	6.706	6.43	5.823	0.973
2.656	3.804	7.592	4.881	4.166	3.971	-1.117
2.129	4.257	7.801	4.208	1.364	6.73	1.577
7.263	4.428	6.055	4.854	2.063	4.711	4.465
6.26	6.807	5.937	6.335	5.962	5.798	-1.955
5.041	2.125	2.72	2.288	1.751	6.582	7.635
6.125	6.286	5.438	6.443	6.365	6.143	3.202
0.267	0.48	1.166	0.191	1.172	0.441	2.361
0.802	0.813	1.389	0.502	0.123	0.276	-0.811
0.415	0.159	0.565	2.324	0.291	1.452	5.341
6.257	5.478	6.097	6.116	6.008	5.557	1.018
1.005	0.193	0.711	1.637	0.237	1.226	-0.753
1.264	0.855	1.374	0.708	1.694	0.281	-2.248
3.059	2.796	2.725	4.544	3.762	2.562	-0.032
1.801	2.212	4.436	1.763	0.481	1.842	-0.837
3.017	5.387	6.363	1.413	0.857	3.561	1.897
3.408	5.131	3.351	4.596	3.288	5.818	3.073
6.572	6.204	5.986	5.764	5.637	6.56	8.435
7.617	6.089	6.617	5.631	5.588	2.972	1.863
3.211	13.257	2.347	8.665	2.545	4.561	1.48
6.125	6.009	6.12	5.971	6.513	6.098	0.564
1.575	0.893	1.762	0.974	0.405	0.394	-0.144
6.19	5.966	5.79	6.374	5.499	6.176	6.983
6.293	5.543	6.285	6.678	5.439	6.185	4.893
6.769	0.96	4.768	13.601	1.245	4.331	1.28
1.477	9.869	1.94	5.64	4.249	2.362	-0.478
0.098	0.292	0.18	0.726	-0.011	0.216	2.981
6.139	6.553	6.178	6.666	6.144	5.84	-1.493
6.153	5.881	6.539	5.742	6.428	5.899	0.289
5.678	2.633	0.533	5.965	10.9	0.921	0.834
0.219	1.56	0.88	0.606	2.367	1.126	5.089
3.261	5.736	3.693	5.259	3.36	5.411	0.273
3.661	3.357	6.699	3.227	4.847	5.361	1.638
6.186	5.932	6.606	6.289	6.056	5.613	3.006
0.135	2.563	0.494	0.451	0.287	0.706	3.476
3.324	4.085	-0.022	4.506	4.917	3.74	8.128
5.803	5.716	3.41	2.954	4.365	2.947	-3.001
3.82	5.31	4.288	7.754	5.505	5.739	3.764
7.036	4.077	4.271	2.647	0.011	5.676	2.761
1.599	0.419	0.231	0.104	0.378	0.987	0.5
7.803	3.471	7.298	4.551	8.182	6.285	0.574
4.849	6.993	4.215	2.514	7.123	3.088	0.781
1.94	4.474	4.162	4.11	6.284	5.014	-2.854
6.179	5.659	5.353	5.918	5.866	6.201	-1.406
5.308	4.334	5.488	4.345	4.899	3.888	4.958
0.877	0.222	0.95	0.162	0.925	0.245	3.474
5.889	6.188	5.557	6.303	5.462	5.836	6.839
1.181	0.133	2.784	1.956	9.558	4.555	2.746
6.71	3.421	7.287	4.479	5.632	6.212	4.729
16.814	1.37	0.701	2.309	8.606	1.183	3.722
6.973	0.309	3.669	2.912	8.331	6.82	-1.255
0.842	0.271	0.643	1.333	0.566	2.022	2.511
7.233	4.265	11.878	5.821	3.756	4.876	4.126
0.708	0.568	0.129	1.1	0.88	0.993	0.884
5.804	3.025	3.41	4.421	3.886	2.668	-3.305
1.008	0.517	1.233	0.058	1.17	1.774	-1.238
2.505	1.521	0.931	0.693	0.559	0.623	3.641
6.123	6.75	6.061	5.486	6.098	5.894	2.876
5.971	6.24	6.126	6.487	5.597	6.587	2.495
5.414	6.747	2.574	8.395	5.849	6.892	-0.212
6.254	5.979	6.007	5.655	6.093	5.535	1.296
1.686	6.334	4.737	6.317	3.282	4.991	7.148
5.129	7.438	6.064	5.612	5.553	2.907	6.224
6.476	3.938	10.04	1.371	0.82	0.171	4.258
6.307	5.961	6.051	5.711	6.018	6.446	6.492
0.323	0.914	0.411	0.576	0.344	0.238	4.292
3.516	6.45	5.208	2.242	5.727	3.958	0.826
0.615	0.573	0.572	0.121	0.247	0.196	5.596
5.113	2.885	3.779	1.568	11.364	5.695	-1.239
5.897	6.139	5.717	5.994	5.733	6.136	7.995
6.875	2.296	4.137	4.125	8.245	3.219	-0.523
5.153	4.562	3.01	5.49	3.53	4.153	0.433
3.417	6.498	5.024	6.609	5.725	6.214	-3.623
6.412	5.682	6.311	5.904	5.781	6.093	5.204
5.787	6.007	5.858	5.978	5.752	6.086	-0.201
0.882	0.74	0.115	-0.013	0.318	0.914	6.164
5.55	6.657	6.108	6.24	5.939	5.555	-0.239
6.188	6.158	5.84	6.033	5.715	6.325	0.374
2.224	4.862	9.098	11.404	2.054	1.154	-0.738
5.963	5.632	5.725	6.269	6.678	6.173	2.395
6.396	6.083	6.282	6.118	5.631	5.955	4.908
6.287	6.39	5.986	6.252	6.157	5.365	2.381
4.951	1.396	0.22	3.179	2.725	5.679	4.934
5.555	5.602	2.98	4.722	3.094	2.666	2.818
5.798	7.031	5.765	3.826	2.897	2.666	7.83
5.77	8.905	4.41	8.922	3.77	8.021	3.13
1.575	0.812	0.465	1.218	0.034	0.597	3.279
2.851	10.678	3.803	5.314	4.598	5.534	-1.09
5.652	7.513	9.617	3.272	8.681	5.516	6.509
1.255	0.738	1.204	0.06	1.001	1.04	2.508
5.743	5.733	6.525	5.596	6.19	5.872	-5.872
5.064	5.123	14.391	6.235	0.472	5.011	4.477
5.794	5.89	5.793	6.149	6.039	5.917	-0.62
-0.087	1.976	0.195	0.461	0.028	0.244	3.025
2.246	3.67	2.139	11.301	2.708	1.742	2.9
0.378	0.065	0.841	0.782	0.078	0.753	7.423
0.114	0.186	0.913	1.01	0.468	1.086	7.02
4.799	1.851	0.41	3.149	6.906	7.02	4.067
2.07	12.232	1.252	3.79	0.318	9.526	3.144
6.745	3.94	5.51	1.26	4.461	2.238	-2.815
5.936	6.513	5.706	6.277	6.411	5.802	2.187
3.549	3.574	3.424	4.921	1.091	3.953	3.036
6.363	6.958	5.703	5.092	4.372	10.514	2.899
6.286	6.22	5.847	6.714	6.185	5.798	3.574
6.012	5.714	5.487	5.951	6.209	6.4	3.178
1.37	0.286	0.818	1.661	0.653	1.155	0.043
5.526	6.428	6.113	5.684	6.168	5.974	3.071
6.328	6.073	6.208	4.956	6.662	7.16	3.376
5.933	11.61	7.613	5.322	2.39	7.562	2.463
1.546	0.374	0.967	0.197	0.227	3.341	0.205
3.388	6.168	4.279	2.909	5.483	1.329	3.573
3.498	2.398	3.223	5.92	2.303	4.977	-2.459
4.535	6.251	3.473	6.73	5.73	6.572	5.36
5.702	5.593	6.037	5.922	5.744	5.952	-1.827
0.159	1.362	2.345	0.513	0.633	1.702	-1.024
5.792	4.922	1.064	7.938	4.644	2.854	6.944
3.53	4.277	3.074	1.894	2.658	3.797	-2.607
0.954	1.397	0.617	0.714	0.157	2.078	-1.256
1.057	1.692	1.135	0.89	1.122	0.549	-0.646
9.9	8.35	2.714	7.681	1.845	0.792	0.872
4.182	1.76	1.373	2.611	1.217	4.532	3.21
0.395	6.435	4.538	1.8	2.464	1.602	1.241
6.083	6.228	5.76	5.832	5.958	5.565	3.143
2.078	5.353	13.153	3.496	4.778	5.857	0.419
2.862	7.424	2.226	2.11	2.411	7.087	-1.533
5.804	5.959	5.889	5.457	6.478	6.341	6.609
6.018	6.3	5.942	5.914	6.214	6.305	4.662
0.762	0.73	1.259	0.259	0.335	0.822	7.644
0.282	0.97	1.746	-0.013	1.649	1.116	3.157
2.849	3.862	3.975	4.176	5.27	7.965	1.231
0.057	0.373	0.79	0.711	0.559	0.117	3.722
-0.004	0.347	0.23	0.09	1.495	1.138	-0.179
8.102	1.632	5.06	6.567	3.939	4.116	1.413
6.411	6.298	5.862	6.487	5.981	5.57	1.633
6.248	6.373	6.059	6.296	5.528	6.579	2.627
0.535	1.921	0.743	0.9	0.376	0.766	1.27
6.429	6.44	6.293	6.407	5.563	6.159	5.185
6.079	5.748	6.261	6.313	5.863	5.16	-3.272
4.714	5.96	7.524	0.59	1.302	4.682	-2.136
5.768	6.216	5.468	6.21	5.444	6.302	1.252
